#U =3.5V, I= 1.8A
#Ub/V I/mA
0 0
5 0.001
10  0.006
15  0.008
20  0.010
25  0.010
30  0.011
35  0.011
40  0.011
45  0.011
50  0.011
55  0.011
60  0.011
65  0.011
70  0.011
75  0.012
80  0.012
85  0.012
90   0.011
95   0.012
100  0.012
105 0.012
110  0.012
115 0.012
120 0.012
130 0.012
140 0.012
150 0.012
160 0.012
170 0.012
180 0.012
190 0.012
